player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
B. Buxton,4,1,1,0,0,0,0,.277,.341,.553
T. Larnach,4,0,0,0,0,0,2,.247,.313,.413
D. Keirsey Jr.,0,0,0,0,0,0,0,.104,.143,.149
W. Castro,4,1,3,0,0,0,1,.275,.358,.440
B. Lee,3,0,1,1,0,0,1,.274,.307,.407
C. Correa,4,0,2,1,0,0,2,.259,.299,.387
M. Wallner,2,0,0,0,0,0,1,.197,.296,.429
R. Lewis,1,0,0,0,0,1,0,.204,.287,.311
R. Jeffers,3,0,0,0,0,0,1,.232,.332,.377
K. Clemens,2,0,1,0,0,0,1,.218,.310,.492
T. France,1,0,0,0,0,0,0,.259,.321,.369
H. Bader,3,0,0,0,0,0,0,.245,.325,.392
