player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. India,3,1,1,0,0,2,1,.244,.326,.339
B. Witt Jr.,5,1,1,1,0,0,2,.289,.343,.488
V. Pasquantino,4,0,1,2,0,0,0,.266,.330,.410
M. Garcia,3,0,1,0,0,1,0,.305,.365,.469
S. Perez,4,0,1,0,0,0,0,.240,.281,.394
D. Waters,0,0,0,0,0,0,0,.243,.288,.316
J. Rave,3,0,0,0,0,1,0,.176,.259,.235
N. Loftin,4,0,0,0,0,0,1,.174,.227,.333
T. Clarke,0,0,0,0,0,0,0,.000,.000,.000
C. Estevez,0,0,0,0,0,0,0,.000,.000,.000
F. Fermin,3,0,0,0,0,0,0,.260,.321,.329
K. Isbel,3,1,0,0,0,1,1,.239,.264,.351
