player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
Z. Neto,4,2,2,1,0,0,0,.277,.312,.503
N. Schanuel,4,1,2,1,0,0,0,.276,.374,.385
M. Trout,3,0,1,2,0,0,1,.220,.302,.461
T. Ward,4,0,0,0,0,0,1,.209,.260,.482
T. d'Arnaud,3,1,0,0,0,1,2,.226,.280,.355
C. Taylor,3,0,0,0,0,0,2,.200,.294,.400
J. Adell,4,1,2,3,1,0,1,.226,.297,.469
S. Kingery,4,1,1,0,0,0,1,.143,.200,.214
K. Newman,3,1,0,0,0,0,1,.177,.190,.210
