player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Ohtani,3,0,0,0,0,1,1,.282,.384,.622
M. Rojas,1,0,0,0,0,0,0,.241,.280,.366
M. Betts,3,0,1,0,0,0,1,.247,.321,.383
E. Ruiz,2,0,1,0,0,0,1,.500,.500,.500
F. Freeman,2,0,1,0,0,0,1,.313,.383,.507
D. Rushing,3,0,0,0,0,0,0,.207,.292,.293
W. Smith,2,1,2,1,1,2,0,.330,.433,.564
T. Hernández,2,0,0,0,0,0,0,.261,.295,.475
H. Kim,2,0,0,0,0,0,0,.360,.406,.506
A. Pages,3,0,1,0,0,1,1,.290,.328,.502
M. Conforto,4,0,0,0,0,0,1,.174,.293,.307
T. Edman,2,0,0,0,0,2,0,.242,.297,.426
E. Hernández,4,0,0,0,0,0,0,.199,.264,.373
