player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
M. Busch,1,0,0,0,0,2,1,.256,.337,.486
C. Santana,1,0,0,0,0,0,1,.000,.000,.000
I. Happ,4,0,0,0,0,0,2,.237,.339,.412
S. Suzuki,4,0,1,0,0,0,2,.244,.323,.466
P. Crow-Armstrong,2,1,1,0,0,1,1,.254,.293,.496
K. Alcantara,0,0,0,0,0,0,0,.333,.333,.333
J. Turner,1,0,0,0,0,0,0,.213,.282,.313
N. Hoerner,3,0,1,0,0,1,0,.290,.340,.385
C. Kelly,3,0,0,1,0,1,1,.253,.345,.433
W. Castro,3,0,0,0,0,1,0,.159,.205,.246
D. Swanson,2,0,0,0,0,1,1,.246,.299,.423
M. Shaw,3,0,0,0,0,0,1,.227,.294,.394
