player,ip,h,r,er,bb,k,hr,pc_st,era
C. Bassitt,5.2,6,2,2,2,10,0,107-68,4.18
B. Fisher,0.1,0,0,0,0,1,0,10-7,3.03
B. Little,0.2,2,0,0,1,0,0,18-10,2.96
S. Dominguez,1.1,0,0,0,1,1,0,19-10,3.58
