player,ip,h,r,er,bb,k,hr,pc_st,era
J. Cannon,1.2,4,7,7,3,1,2,59-33,5.34
T. Alexander,4.1,1,0,0,1,5,0,67-44,4.52
S. Wilson,0.2,1,1,1,1,0,0,9-5,3.00
B. Eisert,1.1,1,0,0,1,3,0,28-16,4.22
