player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. India,5,1,1,0,0,0,1,.240,.320,.343
B. Witt Jr.,3,1,1,3,1,2,0,.288,.342,.498
J. Rave,0,0,0,0,0,0,0,.181,.291,.319
V. Pasquantino,4,0,1,0,0,1,2,.266,.329,.444
M. Garcia,5,1,2,1,0,0,0,.302,.358,.471
S. Perez,5,1,1,1,1,0,2,.254,.296,.461
M. Yastrzemski,3,1,1,2,1,0,0,.333,.333,1.333
N. Loftin,1,0,0,0,0,0,0,.214,.252,.375
R. Grichuk,4,1,1,0,0,0,0,.235,.278,.412
A. Frazier,4,1,1,2,1,0,1,.259,.300,.444
K. Isbel,4,2,2,0,0,0,1,.251,.286,.357
T. Tolbert,0,0,0,0,0,0,0,.208,.240,.333
