player,ip,h,r,er,bb,k,hr,pc_st,era
C. Schlittler,6.2,1,0,0,2,8,0,95-67,3.22
L. Weaver,1.1,1,1,1,0,2,1,20-14,2.63
D. Bednar,1.0,2,2,2,1,3,0,27-19,2.66
D. Williams,1.0,2,1,0,0,3,0,24-15,5.21
