player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
G. Perdomo,4,1,1,0,0,0,1,.285,.386,.444
K. Marte,4,2,2,0,0,0,1,.291,.393,.523
C. Carroll,4,1,2,3,1,0,0,.258,.333,.559
B. Alexander,3,0,0,0,0,1,3,.237,.333,.441
A. Del Castillo,3,0,2,1,0,0,0,.259,.289,.388
L. Gurriel Jr.,1,0,0,0,0,0,0,.249,.296,.420
T. Locklear,4,0,0,0,0,0,3,.155,.245,.226
A. Thomas,4,0,0,0,0,0,1,.250,.289,.372
J. Lawlar,4,0,0,0,0,0,2,.000,.100,.000
J. McCarthy,2,0,0,0,0,0,0,.199,.252,.325
I. Vargas,1,0,0,0,0,0,0,.250,.264,.442
G. Moreno,0,0,0,0,0,0,0,.277,.326,.436
