player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Ohtani,4,2,2,1,1,1,1,.282,.385,.614
M. Betts,5,1,1,2,0,0,1,.238,.308,.369
F. Freeman,4,1,1,0,0,1,1,.305,.376,.485
M. Muncy,3,1,2,2,1,1,0,.260,.387,.491
J. Dean,1,0,0,0,0,0,1,.000,.000,.000
T. Hernández,4,0,0,0,0,0,2,.251,.286,.461
M. Rojas,1,0,0,0,0,0,0,.238,.299,.390
A. Pages,4,1,2,2,0,0,0,.278,.317,.464
M. Conforto,1,1,1,0,0,1,0,.191,.303,.334
A. Call,1,0,0,0,0,0,0,.250,.333,.375
A. Freeland,3,1,0,0,0,1,1,.222,.323,.222
D. Rushing,4,1,1,2,0,0,1,.189,.260,.256
