player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
C. Keith,5,0,1,0,0,0,2,.256,.332,.413
G. Torres,5,0,0,0,0,0,0,.258,.360,.390
K. Carpenter,2,0,0,0,0,0,1,.255,.296,.504
J. Jones,2,1,1,0,0,0,1,.272,.359,.534
R. Greene,4,0,1,0,0,0,1,.269,.323,.509
S. Torkelson,4,0,1,1,0,0,2,.238,.332,.466
W. Perez,2,1,1,0,0,2,0,.267,.328,.476
Z. McKinstry,4,1,1,0,0,0,2,.267,.345,.449
D. Dingler,3,1,0,0,0,0,2,.280,.329,.433
P. Meadows,1,1,1,2,1,1,0,.206,.281,.325
J. Malloy,0,0,0,0,0,1,0,.214,.347,.296
T. Sweeney,1,0,0,0,0,0,0,.204,.264,.305
