player,ip,h,r,er,bb,k,hr,pc_st,era
T. Skubal,6.2,7,6,1,0,12,2,99-72,2.28
B. Hanifee,0.2,1,1,1,0,0,0,5-5,3.25
D. Sommers,0.2,2,1,1,0,1,1,14-9,9.00
