Rk,Player,Age,Team,Awards
102,Trevor Rogers*,26,2TM,
102,Trevor Rogers*,26,MIA,
102,Trevor Rogers*,26,BAL,
103,Spencer Schwellenbach,24,ATL,
104,Jared Jones,22,PIT,
105,Andre Pallante,25,STL,
106,Bryan Woo,24,SEA,
107,David Peterson*,28,NYM,
108,Lance Lynn,37,STL,
109,Jordan Montgomery*,31,ARI,
110,Grayson Rodriguez,24,BAL,
111,Nick Lodolo*,26,CIN,
112,Kyle Freeland*,31,COL,
113,José Soriano,25,LAA,
114,Kenta Maeda,36,DET,
115,Reese Olson,24,DET,
116,Cole Irvin*,30,2TM,
116,Cole Irvin*,30,BAL,
116,Cole Irvin*,30,MIN,
117,Jordan Hicks,27,SFG,
118,José Ureña,32,TEX,
119,Tyler Alexander*,29,TBR,
120,Bryse Wilson,26,MIL,
Rk,Player,Age,Team,Awards
121,Blake Snell*,31,SFG,
122,Carlos Carrasco,37,CLE,
123,Bowden Francis,28,TOR,
124,Jon Gray,32,TEX,
125,Casey Mize,27,DET,
126,James Paxton*,35,2TM,
126,James Paxton*,35,LAD,
126,James Paxton*,35,BOS,
127,Joe Musgrove,31,SDP,
128,Cooper Criswell,27,BOS,
129,Ryan Yarbrough*,32,2TM,
129,Ryan Yarbrough*,32,LAD,
129,Ryan Yarbrough*,32,TOR,
130,Keider Montero,23,DET,
131,Randy Vásquez,25,SDP,
132,Logan Allen*,25,CLE,
133,Edward Cabrera,26,MIA,
134,Gerrit Cole,33,NYY,
135,Dane Dunning,29,TEX,
136,Tyler Holton*,28,DET,MVP-15
137,Carson Spiers,26,CIN,
138,Justin Verlander,41,HOU,
139,Derek Law,33,WSN,
140,Yoshinobu Yamamoto,25,LAD,
141,Dakota Hudson,29,COL,
142,DJ Herz*,23,WSN,
143,Chris Paddack,28,MIN,
144,Reid Detmers*,24,LAA,
145,Carson Fulmer,30,LAA,
146,Yariel Rodríguez,27,TOR,
147,Ryan Weathers*,24,MIA,
148,Matthew Liberatore*,24,STL,
149,Clarke Schmidt,28,NYY,
150,Ross Stripling,34,OAK,
151,Luke Weaver,30,NYY,
Rk,Player,Age,Team,Awards
152,Taijuan Walker,31,PHI,
153,Roddery Muñoz,24,MIA,
154,Pedro Avila,27,2TM,
154,Pedro Avila,27,SDP,
154,Pedro Avila,27,CLE,
155,Yu Darvish,37,SDP,
156,Sean Hjelle,27,SFG,
157,Ryan Walker,28,SFG,
158,Cade Povich*,24,BAL,
159,Patrick Sandoval*,27,LAA,
160,Michael Soroka,26,CHW,
161,Shane Baz,25,TBR,
162,Michael Tonkin,34,3TM,
162,Michael Tonkin,34,2TM,
162,Michael Tonkin,34,NYM,
162,Michael Tonkin,34,MIN,
162,Michael Tonkin,34,NYY,
163,Keegan Akin*,29,BAL,
164,Bryan Abreu,27,HOU,
165,Tylor Megill,28,NYM,
166,Graham Ashcraft,26,CIN,
167,Slade Cecconi,25,ARI,
168,Cody Bradford*,26,TEX,
169,Gavin Williams,24,CLE,
170,Josh Winckowski,26,BOS,
171,Triston McKenzie,26,CLE,
172,Walker Buehler,29,LAD,
173,Cade Smith,25,CLE,"CYA-9,ROY-5"
174,Paul Blackburn,30,2TM,
