Rk,Player,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO
42,JJ Bleday*,26,OAK,159,642,572,74,139,43,4,20,60,2,3,67,125
43,Nico Hoerner,27,CHC,151,641,582,86,159,35,1,7,48,31,6,44,66
44,Isaac Paredes,25,2TM,153,641,542,64,129,25,1,19,80,1,1,76,105
44,Isaac Paredes,25,TBR,101,429,363,41,89,19,1,16,55,0,1,52,68
44,Isaac Paredes,25,CHC,52,212,179,23,40,6,0,3,25,1,0,24,37
45,Eugenio Suárez,32,ARI,158,640,571,90,146,28,2,30,101,2,1,49,176
46,Freddie Freeman*,34,LAD,147,638,542,81,153,35,2,22,89,9,2,78,100
47,Adley Rutschman#,26,BAL,148,638,571,68,143,21,1,19,79,1,0,58,103
48,Adolis García,31,TEX,154,637,580,68,130,27,0,25,85,11,5,45,177
49,Jonathan India,27,CIN,151,637,533,84,132,28,2,15,58,13,2,80,125
50,Masyn Winn,22,STL,150,637,587,85,157,32,5,15,57,11,5,41,109
51,Yordan Alvarez*,27,HOU,147,635,552,88,170,34,2,35,86,6,0,69,95
52,Nolan Arenado,33,STL,152,635,578,70,157,23,0,16,71,2,2,44,92
53,Willi Castro#,27,MIN,158,635,558,89,138,31,5,12,60,14,9,51,150
54,Alex Bregman,30,HOU,145,634,581,79,151,30,2,26,75,3,1,44,86
55,Andrés Giménez*,25,CLE,152,633,583,64,147,22,1,9,63,30,5,26,97
56,Josh Naylor*,27,CLE,152,633,563,84,137,27,0,31,108,6,2,58,105
57,Bryce Harper*,31,PHI,145,631,550,85,157,42,0,30,87,7,4,76,138
58,Cal Raleigh#,27,SEA,153,628,546,73,120,16,0,34,100,6,1,70,176
59,Maikel Garcia,24,KCR,157,626,575,84,133,27,5,7,58,37,2,42,103
60,Bryan De La Cruz,27,2TM,149,622,584,61,136,25,0,21,68,5,2,29,170
60,Bryan De La Cruz,27,MIA,105,454,424,44,104,19,0,18,51,3,1,25,118
60,Bryan De La Cruz,27,PIT,44,168,160,17,32,6,0,3,17,2,1,4,52
61,Yandy Díaz,32,TBR,145,621,563,55,158,31,1,14,65,0,0,50,95
62,Alex Verdugo*,28,NYY,149,621,559,74,130,28,1,13,61,2,1,49,93
63,Jazz Chisholm Jr.*,26,2TM,147,621,562,74,144,21,4,24,73,40,10,53,152
63,Jazz Chisholm Jr.*,26,MIA,101,430,386,46,96,14,4,13,50,22,8,39,107
63,Jazz Chisholm Jr.*,26,NYY,46,191,176,28,48,7,0,11,23,18,2,14,45
64,Yainer Diaz,25,HOU,148,619,585,70,175,29,3,16,84,2,0,24,107
65,Brice Turang*,24,MIL,155,619,559,72,142,24,4,7,57,50,6,50,105
66,Andrew Vaughn,26,CHW,149,619,570,55,140,30,1,19,70,2,0,38,132
67,Brent Rooker,29,OAK,145,614,546,82,160,26,2,39,112,11,3,59,177
68,George Springer,34,TOR,145,614,545,74,120,19,3,19,56,16,1,60,115
69,Julio Rodríguez,23,SEA,143,613,567,76,155,17,0,20,68,24,5,38,156
70,Christopher Morel,25,2TM,152,611,535,56,105,11,3,21,60,8,7,61,159
70,Christopher Morel,25,CHC,103,421,362,43,72,7,1,18,51,7,5,47,103
70,Christopher Morel,25,TBR,49,190,173,13,33,4,2,3,9,1,2,14,56
71,Nolan Schanuel*,22,LAA,147,607,519,62,130,19,0,13,54,10,1,68,103
72,Alec Bohm,27,PHI,143,606,554,62,155,44,2,15,97,5,2,40,86
73,Brenton Doyle,26,COL,149,603,542,82,141,24,4,23,72,30,5,46,153
74,Josh Bell#,31,2TM,145,603,538,62,134,23,2,19,71,0,1,51,120
74,Josh Bell#,31,MIA,104,441,398,38,95,18,1,14,49,0,0,34,88
74,Josh Bell#,31,ARI,41,162,140,24,39,5,1,5,22,0,1,17,32
75,CJ Abrams*,23,WSN,138,602,541,79,133,29,6,20,65,31,12,40,128
76,Orlando Arcia,29,ATL,157,602,551,50,120,24,0,17,46,2,0,41,128
77,Zach Neto,23,LAA,155,602,542,70,135,34,1,23,77,30,10,39,140
78,Rafael Devers*,27,BOS,138,601,525,87,143,34,5,28,83,3,0,67,147
79,Oneil Cruz*,25,PIT,146,599,541,72,140,34,3,21,76,22,1,51,181
