CurrentName,Team,Type,FirstInitial,LastName,SuggestedFullName,Confidence,Source,Notes,MLBUrl
"I. Seymour","TB","pitcher","I","Seymour","","","","","https://www.mlb.com/tb/roster"
"J. Adams","BAL","hitter","J","Adams","","","","","https://www.mlb.com/bal/roster"
"J. Baez","DET","hitter","J","Baez","","","","","https://www.mlb.com/det/roster"
"J. Brubaker","NYY","pitcher","J","Brubaker","","","","","https://www.mlb.com/nyy/roster"
"J. Butto","NYM","pitcher","J","Butto","","","","","https://www.mlb.com/nym/roster"
"J. Diaz","SEA","pitcher","J","Diaz","","","","","https://www.mlb.com/sea/roster"
"J. Dominguez","NYY","hitter","J","Dominguez","","","","","https://www.mlb.com/nyy/roster"
"J. Foscue","TEX","hitter","J","Foscue","","","","","https://www.mlb.com/tex/roster"
"J. Loaisiga","NYY","pitcher","J","Loaisiga","","","","","https://www.mlb.com/nyy/roster"
"J. Ornelas","TEX","hitter","J","Ornelas","","","","","https://www.mlb.com/tex/roster"
"J. Palisch","CHW","pitcher","J","Palisch","","","","","https://www.mlb.com/chw/roster"
"J. Pena","HOU","hitter","J","Pena","","","","","https://www.mlb.com/hou/roster"
"J. Rodriguez","CLE","hitter","J","Rodriguez","","","","","https://www.mlb.com/cle/roster"
"J. Rodriguez","CLE","hitter","J","Rodriguez","","","","","https://www.mlb.com/cle/roster"
"J. Rodriguez","SEA","hitter","J","Rodriguez","","","","","https://www.mlb.com/sea/roster"
"J. Sorsa","CIN","pitcher","J","Sorsa","","","","","https://www.mlb.com/cin/roster"
"J. Urena","TOR","pitcher","J","Urena","","","","","https://www.mlb.com/tor/roster"
"J. Urena","NYM","pitcher","J","Urena","","","","","https://www.mlb.com/nym/roster"
"J. Urena","LAD","pitcher","J","Urena","","","","","https://www.mlb.com/lad/roster"
"J. Winkler","MIA","hitter","J","Winkler","","","","","https://www.mlb.com/mia/roster"
"K. Strowd","BAL","pitcher","K","Strowd","","","","","https://www.mlb.com/bal/roster"
"L. Acuna","NYM","hitter","L","Acuna","","","","","https://www.mlb.com/nym/roster"
"L. Garcia","LAD","pitcher","L","Garcia","","","","","https://www.mlb.com/lad/roster"
"L. Garcia Jr.","ARI","hitter","L","Jr.","","","","","https://www.mlb.com/ari/roster"
"L. Jr.","HOU","pitcher","L","Jr.","","","","","https://www.mlb.com/hou/roster"
"L. Jr.","LAA","hitter","L","Jr.","","","","","https://www.mlb.com/laa/roster"
"L. Little","CHC","pitcher","L","Little","","","","","https://www.mlb.com/chc/roster"
"L. Porter","SF","hitter","L","Porter","","","","","https://www.mlb.com/sf/roster"
"L. Urias","OAK","hitter","L","Urias","","","","","https://www.mlb.com/oak/roster"
"L. Vazquez","BAL","hitter","L","Vazquez","","","","","https://www.mlb.com/bal/roster"
"M. Dubon","HOU","hitter","M","Dubon","","","","","https://www.mlb.com/hou/roster"
"M. Harris","ATL","hitter","M","Harris","","","","","https://www.mlb.com/atl/roster"
"M. Melendez","KC","hitter","M","Melendez","","","","","https://www.mlb.com/kc/roster"
"M. Otanez","OAK","pitcher","M","Otanez","","","","","https://www.mlb.com/oak/roster"
"M. Perez","CHW","pitcher","M","Perez","","","","","https://www.mlb.com/chw/roster"
"N. Cortes","MIL","pitcher","N","Cortes","","","","","https://www.mlb.com/mil/roster"
"N. Eaton","BOS","hitter","N","Eaton","","","","","https://www.mlb.com/bos/roster"
"N. Kavadas","LAA","hitter","N","Kavadas","","","","","https://www.mlb.com/laa/roster"
"N. Nunez","WSH","hitter","N","Nunez","","","","","https://www.mlb.com/wsh/roster"
"O. Narvaez","CHW","hitter","O","Narvaez","","","","","https://www.mlb.com/chw/roster"
"P. Gervase","TB","pitcher","P","Gervase","","","","","https://www.mlb.com/tb/roster"
"P. Lopez","MIN","pitcher","P","Lopez","","","","","https://www.mlb.com/min/roster"
"P. Pages","STL","hitter","P","Pages","","","","","https://www.mlb.com/stl/roster"
"R. Fitzgerald","MIN","hitter","R","Fitzgerald","","","","","https://www.mlb.com/min/roster"
"R. Hassell","WSH","hitter","R","Hassell","","","","","https://www.mlb.com/wsh/roster"
"R. Lopez","ATL","pitcher","R","Lopez","","","","","https://www.mlb.com/atl/roster"
"R. Marchan","PHI","hitter","R","Marchan","","","","","https://www.mlb.com/phi/roster"
"R. Munoz","STL","pitcher","R","Munoz","","","","","https://www.mlb.com/stl/roster"
"R. Palacios","TB","hitter","R","Palacios","","","","","https://www.mlb.com/tb/roster"
"R. Pina","MIA","pitcher","R","Pina","","","","","https://www.mlb.com/mia/roster"
"R. Rodriguez","SF","pitcher","R","Rodriguez","","","","","https://www.mlb.com/sf/roster"
"R. Stephenson","LAA","pitcher","R","Stephenson","","","","","https://www.mlb.com/laa/roster"
"R. Urias","BAL","hitter","R","Urias","","","","","https://www.mlb.com/bal/roster"
"S. Dominguez","BAL","pitcher","S","Dominguez","","","","","https://www.mlb.com/bal/roster"
"S. Effross","NYY","pitcher","S","Effross","","","","","https://www.mlb.com/nyy/roster"
"S. Johnson","PHI","pitcher","S","Johnson","","","","","https://www.mlb.com/phi/roster"
"S. Taylor","SEA","hitter","S","Taylor","","","","","https://www.mlb.com/sea/roster"
"S. Whitcomb","HOU","hitter","S","Whitcomb","","","","","https://www.mlb.com/hou/roster"
"T. Brooks","SD","hitter","T","Brooks","","","","","https://www.mlb.com/sd/roster"
"T. Callihan","CIN","hitter","T","Callihan","","","","","https://www.mlb.com/cin/roster"
"T. Cheng","PIT","hitter","T","Cheng","","","","","https://www.mlb.com/pit/roster"
"T. Harrington","PIT","pitcher","T","Harrington","","","","","https://www.mlb.com/pit/roster"
"T. Owens","DET","hitter","T","Owens","","","","","https://www.mlb.com/det/roster"
"T. Tolbert","KC","hitter","T","Tolbert","","","","","https://www.mlb.com/kc/roster"
"T. Zuber","NYM","pitcher","T","Zuber","","","","","https://www.mlb.com/nym/roster"
"V. Brujan","CHC","hitter","V","Brujan","","","","","https://www.mlb.com/chc/roster"
"V. Jr.","MIA","hitter","V","Jr.","","","","","https://www.mlb.com/mia/roster"
"V. Scott","STL","hitter","V","Scott","","","","","https://www.mlb.com/stl/roster"
"W. Gonzalez","CHW","pitcher","W","Gonzalez","","","","","https://www.mlb.com/chw/roster"
"W. Klein","LAD","pitcher","W","Klein","","","","","https://www.mlb.com/lad/roster"
"W. Perez","DET","hitter","W","Perez","","","","","https://www.mlb.com/det/roster"
"Y. Garcia","TOR","pitcher","Y","Garcia","","","","","https://www.mlb.com/tor/roster"
"Y. Gomez","LAD","pitcher","Y","Gomez","","","","","https://www.mlb.com/lad/roster"
"Y. Gomez","CHW","pitcher","Y","Gomez","","","","","https://www.mlb.com/chw/roster"
"Y. Hiraldo","BAL","pitcher","Y","Hiraldo","","","","","https://www.mlb.com/bal/roster"
"Y. Santos","NYY","pitcher","Y","Santos","","","","","https://www.mlb.com/nyy/roster"
"Y. Zulueta","CIN","pitcher","Y","Zulueta","","","","","https://www.mlb.com/cin/roster"
