"id","name","bbe","gb_rate","air_rate","fb_rate","ld_rate","pu_rate","pull_rate","straight_rate","oppo_rate","pull_gb_rate","straight_gb_rate","oppo_gb_rate","pull_air_rate","straight_air_rate","oppo_air_rate"
592518,"Machado, Manny",62,0.45161290322580644,0.5483870967741935,0.3064516129032258,0.1774193548387097,0.06451612903225806,0.4838709677419355,0.24193548387096775,0.27419354838709675,0.3064516129032258,0.0967741935483871,0.04838709677419355,0.1774193548387097,0.14516129032258066,0.2258064516129032
665487,"Tatis Jr., Fernando",52,0.5192307692307693,0.4807692307692307,0.28846153846153844,0.1346153846153846,0.057692307692307696,0.38461538461538464,0.36538461538461536,0.25,0.25,0.19230769230769232,0.07692307692307693,0.13461538461538464,0.17307692307692304,0.17307692307692307
593428,"Bogaerts, Xander",68,0.39705882352941174,0.6029411764705882,0.29411764705882354,0.23529411764705882,0.07352941176470588,0.3235294117647059,0.38235294117647056,0.29411764705882354,0.16176470588235295,0.19117647058823528,0.04411764705882353,0.16176470588235295,0.19117647058823528,0.25
669911,"Toglia, Michael",47,0.3404255319148936,0.6595744680851063,0.2553191489361702,0.2978723404255319,0.10638297872340426,0.5106382978723404,0.23404255319148937,0.2553191489361702,0.19148936170212766,0.1276595744680851,0.02127659574468085,0.3191489361702127,0.10638297872340427,0.23404255319148934
696100,"Goodman, Hunter",53,0.37735849056603776,0.6226415094339622,0.33962264150943394,0.20754716981132076,0.07547169811320754,0.4716981132075472,0.3018867924528302,0.22641509433962265,0.3018867924528302,0.07547169811320754,0,0.169811320754717,0.22641509433962265,0.22641509433962265
686668,"Doyle, Brenton",45,0.4222222222222222,0.5777777777777777,0.2222222222222222,0.28888888888888886,0.06666666666666667,0.37777777777777777,0.37777777777777777,0.24444444444444444,0.17777777777777778,0.2222222222222222,0.022222222222222223,0.19999999999999998,0.15555555555555556,0.2222222222222222
687597,"Beck, Jordan",40,0.4,0.6000000000000001,0.325,0.225,0.05,0.525,0.275,0.2,0.225,0.125,0.05,0.30000000000000004,0.15000000000000002,0.15000000000000002
571657,"Farmer, Kyle",41,0.3902439024390244,0.6097560975609757,0.24390243902439024,0.3170731707317073,0.04878048780487805,0.4146341463414634,0.36585365853658536,0.21951219512195122,0.21951219512195122,0.14634146341463414,0.024390243902439025,0.19512195121951217,0.21951219512195122,0.1951219512195122
608348,"Kelly, Carson",41,0.2926829268292683,0.7073170731707317,0.2926829268292683,0.2926829268292683,0.12195121951219512,0.3170731707317073,0.36585365853658536,0.3170731707317073,0.12195121951219512,0.14634146341463414,0.024390243902439025,0.1951219512195122,0.21951219512195122,0.2926829268292683
621020,"Swanson, Dansby",40,0.425,0.575,0.3,0.15,0.125,0.4,0.425,0.175,0.225,0.2,0,0.17500000000000002,0.22499999999999998,0.175
807713,"Shaw, Matt",33,0.5757575757575758,0.4242424242424242,0.18181818181818182,0.21212121212121213,0.030303030303030304,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.2727272727272727,0.21212121212121213,0.09090909090909091,0.18181818181818182,0.15151515151515152,0.09090909090909091
673548,"Suzuki, Seiya",52,0.17307692307692307,0.8269230769230769,0.3269230769230769,0.4423076923076923,0.057692307692307696,0.36538461538461536,0.38461538461538464,0.25,0.038461538461538464,0.1346153846153846,0,0.32692307692307687,0.25,0.25
664023,"Happ, Ian",62,0.3709677419354839,0.629032258064516,0.25806451612903225,0.3064516129032258,0.06451612903225806,0.41935483870967744,0.3387096774193548,0.24193548387096775,0.1935483870967742,0.16129032258064516,0.016129032258064516,0.22580645161290325,0.17741935483870966,0.22580645161290325
663538,"Hoerner, Nico",58,0.3793103448275862,0.6206896551724138,0.29310344827586204,0.25862068965517243,0.06896551724137931,0.3448275862068966,0.3793103448275862,0.27586206896551724,0.20689655172413793,0.1206896551724138,0.05172413793103448,0.13793103448275865,0.2586206896551724,0.22413793103448276
663728,"Raleigh, Cal",59,0.3389830508474576,0.6610169491525424,0.3389830508474576,0.22033898305084745,0.1016949152542373,0.559322033898305,0.3220338983050847,0.11864406779661017,0.23728813559322035,0.0847457627118644,0.01694915254237288,0.32203389830508466,0.23728813559322032,0.1016949152542373
668227,"Arozarena, Randy",60,0.3333333333333333,0.6666666666666667,0.38333333333333336,0.21666666666666667,0.06666666666666667,0.36666666666666664,0.38333333333333336,0.25,0.13333333333333333,0.15,0.05,0.2333333333333333,0.23333333333333336,0.2
677594,"Rodríguez, Julio",66,0.4696969696969697,0.5303030303030303,0.3181818181818182,0.19696969696969696,0.015151515151515152,0.2878787878787879,0.5151515151515151,0.19696969696969696,0.18181818181818182,0.24242424242424243,0.045454545454545456,0.10606060606060608,0.2727272727272727,0.1515151515151515
664238,"Moore, Dylan",37,0.3783783783783784,0.6216216216216217,0.2972972972972973,0.1891891891891892,0.13513513513513514,0.4594594594594595,0.2702702702702703,0.2702702702702703,0.2702702702702703,0.02702702702702703,0.08108108108108109,0.1891891891891892,0.24324324324324326,0.1891891891891892
593871,"Polanco, Jorge",26,0.19230769230769232,0.8076923076923077,0.34615384615384615,0.3076923076923077,0.15384615384615385,0.38461538461538464,0.2692307692307692,0.34615384615384615,0.11538461538461539,0,0.07692307692307693,0.2692307692307693,0.2692307692307692,0.2692307692307692
664761,"Bohm, Alec",62,0.5,0.5,0.27419354838709675,0.1935483870967742,0.03225806451612903,0.4032258064516129,0.3709677419354839,0.22580645161290322,0.25806451612903225,0.1774193548387097,0.06451612903225806,0.14516129032258063,0.1935483870967742,0.16129032258064516
