"id","name","side","avg_bat_speed","swing_tilt","attack_angle","attack_direction","ideal_attack_angle_rate","avg_intercept_y_vs_plate","avg_intercept_y_vs_batter","avg_batter_y_position","avg_batter_x_position","competitive_swings"
665833,"Cruz, Oneil","L",78.88918678646941,33.88930208916074,9.407414411658623,-6.4872098530734394,"0.49260042283298097252",7.332834882936775,34.602669522075885,27.269834639139106,26.646952101606065,"473"
691406,"Caminero, Junior","R",78.09368817658353,26.43853998742703,8.150473337554066,-6.08558259365264,"0.60076775431861804223",8.177876247683141,36.05592075491695,27.878044507233792,28.653625597743037,"521"
666176,"Adell, Jo","R",77.46071270758115,33.13819851793611,7.098793478003111,-5.392985678677825,"0.49458483754512635379",-0.19239726643340085,25.558771156113725,25.751168422547153,28.09880989340187,"554"
656941,"Schwarber, Kyle","L",77.21151299163176,30.50708752249786,14.195592262772408,-5.911911640649632,"0.64435146443514644351",11.312339421470519,32.808452864955115,21.496113443484564,24.451875602527753,"478"
670242,"Wallner, Matt","L",76.83160191011238,28.17171522499861,12.138100290643917,-6.399980544438157,"0.58426966292134831461",11.515681094089327,37.54959562068908,26.033914526599748,30.960282440746248,"356"
592450,"Judge, Aaron","R",76.74059551020395,38.66430770901271,14.523054533530365,-6.213643660898638,"0.53401360544217687075",4.2703022744553865,30.58960914635952,26.31930687190411,32.884401498700065,"588"
665489,"Guerrero Jr., Vladimir","R",76.55353506224071,26.242772830490026,1.6592610575062243,-3.509695096316316,"0.34232365145228215768",6.858275115850122,33.99312162352131,27.134846507671178,29.454252591724508,"482"
660271,"Ohtani, Shohei","L",76.48376811827956,37.43602500266789,16.074430183413703,-2.7069526338913,"0.53584229390681003584",-0.4903553527129169,27.902554265950105,28.392909618663015,31.376780635597157,"558"
575929,"Contreras, Willson","R",76.33498962894251,32.71242089623624,9.463250864575924,-1.6227462504510808,"0.49907235621521335807",5.237709828028719,28.271282644529915,23.033572816501202,29.826936337600195,"539"
695578,"Wood, James","L",76.12453397321428,40.312128536558916,11.468574733137672,1.4005840152109392,"0.40178571428571428571",1.905406375363785,32.85722809835878,30.95182172299501,29.495186688411614,"448"
660821,"Sánchez, Jesús","L",75.98600817269076,27.56760579667886,7.333687038726002,-2.057989723184815,"0.51204819277108433735",9.226815259476101,35.27014373434867,26.043328474872546,28.659108172088676,"498"
677594,"Rodríguez, Julio","R",75.93472892355707,31.371589458580456,7.1149966652053385,-2.2098243418084595,"0.48361934477379095164",11.953684765675634,32.432391729864,20.478706964188362,29.791675623727343,"641"
680718,"Barger, Addison","L",75.93352658280922,28.435285466080625,10.379463508026975,-7.186318040905515,"0.54088050314465408805",-0.08483379935898712,32.584827638911925,32.66966143827088,25.639067395853637,"477"
663586,"Riley, Austin","R",75.87593030595811,31.93301194589887,10.673880618271067,-4.283075271522341,"0.45410628019323671498",6.57416938482682,35.46218753294454,28.88801814811763,28.271335295867335,"621"
683002,"Henderson, Gunnar","L",75.78553432489441,29.891780509190482,8.236317663128117,2.426845379683678,"0.48734177215189873418",5.989138579180349,32.138910857885065,26.149772278704685,25.935311991545607,"474"
624413,"Alonso, Pete","R",75.74556484429058,33.283883225458794,9.95763502420256,1.207911911600645,"0.60034602076124567474",4.433800213513106,28.552409765718863,24.11860955220574,27.432570683767306,"578"
673357,"Robert Jr., Luis","R",75.64793400452491,36.60077287430903,13.041264048796215,-6.67595583097201,"0.54298642533936651584",0.38694969287501796,31.811116240544937,31.42416654766995,26.51838653923887,"442"
686948,"Baldwin, Drake","L",75.45156103260874,31.43118390520768,10.299401585982494,2.6657753437905347,"0.50000000000000000000",2.890844320948945,29.239718485834388,26.348874164885412,27.891030703828534,"368"
682985,"Greene, Riley","L",75.41850733777036,45.2678446599865,13.992149669488786,2.9830229954426772,"0.38269550748752079867",2.090897924574664,31.445667873180774,29.354769948606144,24.906033332746972,"601"
672356,"Arias, Gabriel","R",75.2794232581454,28.935679587515565,9.069204279875,1.443590970004801,"0.53634085213032581454",5.801846858983134,34.700277376796365,28.898430517813186,35.66277470158566,"399"
669065,"Stowers, Kyle","L",75.20567744308228,34.02680707428025,11.765008159145182,0.2694955799179163,"0.52714535901926444834",2.1493580699485717,31.45575061375824,29.30639254380963,29.190545838111696,"571"
663728,"Raleigh, Cal","L",75.1791778812199,34.70905023283313,17.96390466769567,-7.670523836666052,"0.45264847512038523274",5.476957486677133,34.65595375223957,29.178996265562397,23.895280300680817,"623"
621439,"Buxton, Byron","R",75.0906044672131,33.87297526303701,13.517556211197752,-5.970271064315869,"0.58401639344262295082",4.276379213212812,28.012032802883873,23.73565358967101,28.086386679093945,"488"
683146,"Baty, Brett","L",75.07505351981347,35.3568016993099,8.360417390490008,3.378557650118239,"0.47552447552447552448",-4.159477774632131,26.200175162740315,30.359652937372495,29.96899872651572,"429"
682998,"Carroll, Corbin","L",75.07182253937009,25.359278832305808,11.175644198566312,-3.8529080012996926,"0.72244094488188976378",6.76571935788637,37.25959118072228,30.493871822835914,29.27339287082178,"508"
680776,"Duran, Jarren","L",74.89589153703702,26.50585721513971,6.619944037183956,0.13759254059013884,"0.49629629629629629630",2.602006230350377,31.20765252086228,28.60564629051187,30.73253100521807,"540"
657757,"Sheets, Gavin","L",74.82884359437745,28.115328694288625,9.282499026261918,-8.477287117999467,"0.54618473895582329317",5.599405348047619,34.56914282813137,28.96973748008378,28.66622516112512,"498"
547180,"Harper, Bryce","L",74.76567889175266,35.791903028384844,11.506741486853901,-2.00015739206255,"0.48195876288659793814",8.7198611486423,32.29324990245636,23.573388753814033,28.708729701688245,"388"
