"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Goodman, Hunter",696100,"COL","SL","Slider",2.7,5,"203",18.3,"61","0.339","0.576","0.445",35.3,26.2,21.6,"0.286","0.49","0.343",58.1
"Ramos, Heliot",671218,"SF","SL","Slider",-0.2,-1,"215",16.6,"61","0.25","0.339","0.287",30.6,27.9,22.7,"0.246","0.45","0.327",52.5
"Arozarena, Randy",668227,"SEA","SI","Sinker",0.6,2,"258",19.5,"60","0.289","0.356","0.403",26,15,17,"0.256","0.378","0.379",41.7
"Durbin, Caleb",702332,"MIL","FF","4-Seam Fastball",-2,-4,"203",28.4,"60","0.14","0.28","0.268",7,6.7,9.8,"0.193","0.335","0.291",23.4
"Volpe, Anthony",683011,"NYY","SL","Slider",-2.9,-6,"200",16.2,"60","0.132","0.208","0.202",26.3,28.3,27.9,"0.164","0.267","0.228",31.6
"Frazier, Adam",624428,"PIT","FF","4-Seam Fastball",-0.7,-2,"320",34.8,"60","0.275","0.353","0.338",14.9,20,11.2,"0.241","0.316","0.308",25.6
"Clemens, Kody",665019,"MIN","FF","4-Seam Fastball",-1,-2,"237",45.1,"60","0.17","0.415","0.3",25.2,26.7,23.2,"0.253","0.535","0.374",56.8
"Contreras, Willson",575929,"STL","SI","Sinker",-0.3,-1,"230",20,"60","0.278","0.333","0.339",9.3,11.7,12.7,"0.239","0.306","0.284",36.2
"Bader, Harrison",664056,"MIN","FF","4-Seam Fastball",0.2,1,"258",30,"60","0.245","0.408","0.371",25.2,30,22.2,"0.2","0.31","0.306",58.1
"Kiner-Falefa, Isiah",643396,"PIT","SI","Sinker",-1,-2,"184",22.1,"60","0.291","0.345","0.316",6.3,11.7,25.9,"0.295","0.362","0.319",25
"Schneemann, Daniel",682177,"CLE","FF","4-Seam Fastball",1.1,2,"214",30.4,"59","0.26","0.58","0.403",28,23.7,21.5,"0.308","0.684","0.458",61.1
"Ward, Taylor",621493,"LAA","SI","Sinker",3.3,7,"222",17.1,"59","0.333","0.792","0.513",11.3,23.7,30.4,"0.337","0.713","0.479",57.1
"Benson, Will",666181,"CIN","FF","4-Seam Fastball",-1.2,-2,"197",44.1,"59","0.154","0.308","0.231",31.2,33.9,35.1,"0.218","0.441","0.327",64.7
"Mountcastle, Ryan",663624,"BAL","FF","4-Seam Fastball",-1.2,-3,"256",33.4,"59","0.196","0.255","0.272",22.2,22,16,"0.291","0.501","0.368",57.5
"Buxton, Byron",621439,"MIN","SI","Sinker",0.6,1,"179",18.9,"59","0.288","0.5","0.379",17.2,18.6,32.4,"0.224","0.403","0.318",46.3
"Caminero, Junior",691406,"TB","FF","4-Seam Fastball",2.3,5,"218",19.6,"59","0.241","0.648","0.397",23.3,22,17.3,"0.262","0.61","0.387",66.7
"Thaiss, Matt",642136,"TB","FF","4-Seam Fastball",1.2,3,"271",45.9,"59","0.225","0.3","0.385",28.9,18.6,12.5,"0.204","0.319","0.366",43.3
