"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Vargas, Miguel","678246","278","24",33.8,"110","90","99.6","93.4","86.3","422","199","380","116",41.9,"24",8.6,6.2
"Edwards, Xavier","669364","276","9.2",33.3,"109","86.7","96.5","88.5","86.3","386","147","386","84",30.4,"2",0.7,0.6
"Goldschmidt, Paul","502671","274","14.6",36.1,"109.9","90.3","100.7","94.3","85.9","425","171","384","117",42.7,"22",8,6
"Abrams, CJ","682928","274","12.9",35,"112.7","89.3","99.9","91.7","88.2","414","164","388","111",40.7,"18",6.6,4.9
"Ramos, Heliot","671218","274","10.8",31.8,"116","91.5","102.3","95.9","88.1","430","167","400","125",45.6,"29",10.6,7
"Turang, Brice","668930","273","7.6",35.5,"109.8","90.5","99.7","94.1","86.7","444","157","417","121",45,"16",5.9,4
"De La Cruz, Elly","682829","272","7.5",32.4,"117.4","91.4","103.2","96.2","88.5","451","150","405","126",46.3,"35",12.9,8.3
"Alonso, Pete","624413","272","15.7",40.1,"115.4","94.1","105.5","99.1","88.7","447","184","407","147",54.2,"55",20.2,12.9
"Swanson, Dansby","621020","271","13.3",35.4,"109.3","90.5","101","96","85.3","433","167","399","130",48,"32",11.8,7.9
"France, Ty","664034","270","10.3",35.9,"110.5","89.2","100.3","93","85.4","411","159","398","109",40.8,"23",8.5,6.4
"Soto, Juan","665742","269","10.3",35.7,"115","94.5","105.3","99.8","89.8","437","173","403","152",56.5,"49",18.2,11.5
"Suzuki, Seiya","673548","269","18.8",43.9,"116.2","92.5","103.6","95.6","90.1","445","209","399","137",50.9,"51",19,12.4
"Winn, Masyn","691026","267","17.1",31.8,"110","88.3","99.4","91.4","88.2","403","171","390","96",36.4,"15",5.6,4.1
"Riley, Austin","663586","267","16.4",38.2,"113.2","92.5","104.2","96.6","87.2","444","191","411","136",50.9,"40",15,9.8
"Diaz, Yainer","673237","266","11.6",36.5,"111.6","91","101.3","95.1","88.3","430","166","391","115",43.9,"24",9,7
"Contreras, William","661388","266","5.1",31.2,"114.1","89.8","102.1","96.6","84.8","408","139","389","113",43,"12",4.5,3
"Ohtani, Shohei","660271","266","13.3",31.6,"117.9","94.6","105.9","100.3","87.9","448","188","403","156",59.3,"57",21.4,12.9
"Olson, Matt","621566","265","14.6",38.5,"113.8","93.7","104.2","97.9","90.7","434","183","398","145",54.7,"44",16.6,10.4
"Kirk, Alejandro","672386","265","11.3",34.3,"112","92.3","102.8","95.2","90.9","424","164","398","144",54.5,"24",9.1,7.4
"Peña, Jeremy","665161","265","7.8",28.7,"109.9","88.3","100.3","94.5","84.3","423","147","386","110",41.5,"21",7.9,6
"Soderstrom, Tyler","691016","264","9.1",34.8,"114","91.1","102.7","95","88.5","445","161","400","126",47.7,"33",12.5,8.3
"García Jr., Luis","671277","264","8.3",34.8,"111.7","90.1","100.8","94.6","86.5","420","163","398","124",47.1,"23",8.7,6.9
"Happ, Ian","664023","262","16.2",34.7,"112","89.1","100.4","93.5","85","434","174","394","107",40.8,"24",9.2,5.9
"Ward, Taylor","621493","261","19.4",33.7,"111","90.5","100.7","94.9","85.3","432","196","391","108",41.4,"35",13.4,8.5
"Torres, Gleyber","650402","260","15.5",38.5,"109.3","90.2","100","93.1","87","432","187","399","101",39,"25",9.6,6.9
"Story, Trevor","596115","260","14.6",30.8,"111.7","91","102.5","94.3","89.6","431","163","396","123",47.3,"27",10.4,7
"Lowe, Nathaniel","663993","259","9.5",34.7,"111.7","89.4","100.4","94.1","85.4","421","160","389","105",40.7,"18",6.9,4.4
"Rafaela, Ceddanne","678882","259","11.5",34,"112.1","90.8","101.2","95.2","87.8","426","163","390","122",47.1,"33",12.7,9.6
"Stott, Bryson","681082","259","14.6",35.9,"110.7","87","97.1","89.5","84.6","411","165","395","74",28.6,"13",5,3.7
