"id","name","api_pitch_type_group03","bbe","gb_rate","air_rate","fb_rate","ld_rate","pu_rate","pull_rate","straight_rate","oppo_rate","pull_gb_rate","straight_gb_rate","oppo_gb_rate","pull_air_rate","straight_air_rate","oppo_air_rate"
671289,"Freeman, Tyler","CH",14,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.21428571428571427,0.21428571428571427,0.5,0.07142857142857142,0,0.0714285714285714,0.14285714285714285,0.21428571428571427
621020,"Swanson, Dansby","FC",32,0.53125,0.46875,0.125,0.25,0.09375,0.4375,0.375,0.1875,0.28125,0.1875,0.0625,0.15625,0.1875,0.125
669289,"Espinal, Santiago","ST",19,0.10526315789473684,0.8947368421052632,0.5263157894736842,0.2631578947368421,0.10526315789473684,0.2631578947368421,0.42105263157894735,0.3157894736842105,0.05263157894736842,0.05263157894736842,0,0.21052631578947367,0.3684210526315789,0.3157894736842105
521692,"Perez, Salvador","SL",81,0.32098765432098764,0.6790123456790124,0.3333333333333333,0.2716049382716049,0.07407407407407407,0.41975308641975306,0.2962962962962963,0.2839506172839506,0.12345679012345678,0.13580246913580246,0.06172839506172839,0.2962962962962963,0.16049382716049382,0.2222222222222222
650391,"Jiménez, Eloy","FF",39,0.5384615384615384,0.46153846153846156,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.3076923076923077,0.48717948717948717,0.20512820512820512,0.2564102564102564,0.20512820512820512,0.07692307692307693,0.05128205128205132,0.28205128205128205,0.1282051282051282
681351,"O'Hoppe, Logan","FS",11,0.45454545454545453,0.5454545454545454,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.36363636363636365,0.09090909090909091,0,0.2727272727272727,0.1818181818181818,0.09090909090909091
677594,"Rodríguez, Julio","CU",14,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.5,0.2857142857142857,0.21428571428571427,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.35714285714285715,0.07142857142857142,0.14285714285714285
666149,"Fitzgerald, Tyler","SI",26,0.5769230769230769,0.42307692307692313,0.11538461538461539,0.3076923076923077,0,0.6153846153846154,0.07692307692307693,0.3076923076923077,0.4230769230769231,0.038461538461538464,0.11538461538461539,0.19230769230769235,0.038461538461538464,0.19230769230769232
669304,"Miranda, Jose","ST",27,0.4074074074074074,0.5925925925925926,0.25925925925925924,0.18518518518518517,0.14814814814814814,0.4074074074074074,0.2222222222222222,0.37037037037037035,0.25925925925925924,0.037037037037037035,0.1111111111111111,0.14814814814814814,0.18518518518518517,0.25925925925925924
680869,"Gelof, Zack","FS",5,0.4,0.6,0.6,0,0,0.4,0.4,0.2,0.2,0.2,0,0.2,0.2,0.2
642350,"Siri, Jose","CU",9,0.1111111111111111,0.8888888888888888,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.1111111111111111,0,0,0.1111111111111111,0.4444444444444444,0.3333333333333333
575929,"Contreras, Willson","CH",5,0.6,0.4,0.2,0.2,0,0.8,0.2,0,0.6,0,0,0.20000000000000007,0.2,0
664034,"France, Ty","ST",24,0.3333333333333333,0.6666666666666667,0.5,0.08333333333333333,0.08333333333333333,0.20833333333333334,0.3333333333333333,0.4583333333333333,0.125,0.08333333333333333,0.125,0.08333333333333334,0.25,0.3333333333333333
518595,"d'Arnaud, Travis","SV",2,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0,0,0,0.5,0
681807,"Fry, David","FS",3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333
656555,"Hoskins, Rhys","FS",5,0.2,0.8,0.6,0.2,0,0.4,0.4,0.2,0.2,0,0,0.2,0.4,0.2
665489,"Guerrero Jr., Vladimir","SV",3,0.3333333333333333,0.6666666666666666,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,0.3333333333333333,0,0.6666666666666666,0,0
666971,"Gurriel Jr., Lourdes","FC",21,0.5238095238095238,0.47619047619047616,0.19047619047619047,0.2857142857142857,0,0.47619047619047616,0.2857142857142857,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.047619047619047616,0.23809523809523808,0.047619047619047616,0.19047619047619047
570482,"Urshela, Gio","SL",47,0.46808510638297873,0.5319148936170213,0.14893617021276595,0.3191489361702128,0.06382978723404255,0.2978723404255319,0.3829787234042553,0.3191489361702128,0.2127659574468085,0.19148936170212766,0.06382978723404255,0.08510638297872339,0.19148936170212766,0.25531914893617025
663586,"Riley, Austin","SI",56,0.5535714285714286,0.44642857142857145,0.08928571428571429,0.3392857142857143,0.017857142857142856,0.5178571428571429,0.2857142857142857,0.19642857142857142,0.2857142857142857,0.16071428571428573,0.10714285714285714,0.2321428571428572,0.12499999999999997,0.08928571428571429
666971,"Gurriel Jr., Lourdes","SI",57,0.6491228070175439,0.3508771929824561,0.19298245614035087,0.15789473684210525,0,0.47368421052631576,0.2807017543859649,0.24561403508771928,0.3333333333333333,0.17543859649122806,0.14035087719298245,0.14035087719298245,0.10526315789473684,0.10526315789473684
687263,"Neto, Zach","ST",31,0.3870967741935484,0.6129032258064515,0.3225806451612903,0.0967741935483871,0.1935483870967742,0.3548387096774194,0.3548387096774194,0.2903225806451613,0.1935483870967742,0.12903225806451613,0.06451612903225806,0.16129032258064518,0.22580645161290325,0.22580645161290325
