"id","name","api_pitch_type_group03","bbe","gb_rate","air_rate","fb_rate","ld_rate","pu_rate","pull_rate","straight_rate","oppo_rate","pull_gb_rate","straight_gb_rate","oppo_gb_rate","pull_air_rate","straight_air_rate","oppo_air_rate"
453568,"Blackmon, Charlie","SI",33,0.696969696969697,0.30303030303030304,0.09090909090909091,0.15151515151515152,0.06060606060606061,0.5151515151515151,0.3333333333333333,0.15151515151515152,0.3939393939393939,0.2727272727272727,0.030303030303030304,0.12121212121212122,0.06060606060606061,0.12121212121212122
621566,"Olson, Matt","ST",10,0.3,0.7,0.3,0.3,0.1,0.5,0.4,0.1,0.2,0.1,0,0.3,0.30000000000000004,0.1
657077,"Verdugo, Alex","SL",26,0.4230769230769231,0.576923076923077,0.19230769230769232,0.38461538461538464,0,0.2692307692307692,0.5,0.23076923076923078,0.19230769230769232,0.19230769230769232,0.038461538461538464,0.0769230769230769,0.3076923076923077,0.19230769230769232
664040,"Lowe, Brandon","SI",6,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.5,0,0.5,0.5,0,0.3333333333333333,0,0,0.16666666666666669,0.5,0
670541,"Alvarez, Yordan","CU",7,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.14285714285714285,0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.2857142857142857,0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0
646240,"Devers, Rafael","CU",5,0.2,0.8,0.4,0,0.4,0.4,0.4,0.2,0.2,0,0,0.2,0.4,0.2
664774,"Wade Jr., LaMonte","FC",2,1,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0
664983,"McCarthy, Jake","FC",6,0.3333333333333333,0.6666666666666666,0,0.6666666666666666,0,0.3333333333333333,0.6666666666666666,0,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,0.5,0
518692,"Freeman, Freddie","SL",23,0.4782608695652174,0.5217391304347826,0.21739130434782608,0.2608695652173913,0.043478260869565216,0.2608695652173913,0.5217391304347826,0.21739130434782608,0.21739130434782608,0.2608695652173913,0,0.043478260869565216,0.2608695652173913,0.21739130434782608
656775,"Mullins, Cedric","SL",14,0.21428571428571427,0.7857142857142857,0.21428571428571427,0.35714285714285715,0.21428571428571427,0.7142857142857143,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.07142857142857142,0,0.5714285714285714,0.14285714285714285,0.07142857142857142
680776,"Duran, Jarren","FC",10,0.7,0.30000000000000004,0.1,0.2,0,0.4,0.2,0.4,0.4,0,0.3,0,0.2,0.10000000000000003
671732,"Butler, Lawrence","FC",7,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.2857142857142857,0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.14285714285714285,0,0,0.2857142857142857,0.14285714285714285
608385,"Winker, Jesse","SL",4,0.5,0.5,0.25,0.25,0,0.5,0,0.5,0.5,0,0,0,0,0.5
665862,"Chisholm Jr., Jazz","CH",2,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0.5
687462,"Horwitz, Spencer","ST",2,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0,0,0,0.5,0
646240,"Devers, Rafael","ST",13,0.3076923076923077,0.6923076923076923,0.23076923076923078,0.38461538461538464,0.07692307692307693,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.15384615384615385,0,0.15384615384615385,0.3076923076923077,0.3076923076923077,0.07692307692307693
