"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Rodríguez, Yariel",684320,"TOR","SL","Slider",2.5,7,"285",36.9,"81","0.133","0.307","0.213",38.9,39.5,29.9,"0.173","0.348","0.254",31.8
"Burke, Sean",680732,"CWS","CU","Curveball",0.4,2,"403",22.2,"81","0.218","0.385","0.303",25.3,25.9,19.1,"0.287","0.527","0.366",43.9
"Peralta, Freddy",642547,"MIL","CU","Curveball",0.1,0,"315",15,"81","0.208","0.338","0.268",33.6,37,19.9,"0.187","0.255","0.216",21.3
"Chivilli, Angel",683409,"COL","FF","4-Seam Fastball",-1.9,-5,"280",47,"81","0.319","0.522","0.422",13.6,6.2,10.9,"0.353","0.56","0.438",50
"Canning, Griffin",656288,"NYM","FF","4-Seam Fastball",-0.4,-2,"463",34.5,"80","0.246","0.449","0.347",20,27.5,18,"0.248","0.537","0.375",54.2
"Greene, Hunter",668881,"CIN","SL","Slider",1.3,4,"325",33.2,"80","0.123","0.301","0.23",48.8,41.3,25,"0.147","0.284","0.235",27.5
"Holmes, Clay",605280,"NYM","ST","Sweeper",0,0,"369",19.5,"80","0.203","0.297","0.274",23.9,26.3,16,"0.192","0.28","0.24",28.3
"Casparius, Ben",676508,"LAD","FF","4-Seam Fastball",-0.9,-3,"346",32.6,"80","0.282","0.563","0.386",33.3,22.5,17.8,"0.283","0.584","0.393",44.4
"Little, Brendon",663893,"TOR","SI","Sinker",0.5,2,"388",45.5,"80","0.206","0.317","0.36",36.5,15,24.5,"0.259","0.404","0.372",49
"Peralta, Wandy",593974,"SD","CH","Changeup",0.7,2,"265",34.8,"80","0.203","0.297","0.258",36.4,23.8,20.4,"0.243","0.398","0.3",33.9
"Smith, Shane",681343,"CWS","CH","Changeup",0.7,2,"290",20,"80","0.159","0.232","0.253",31.8,21.3,16.3,"0.245","0.336","0.311",53.8
"Varland, Louis",686973,"MIN","FF","4-Seam Fastball",1.3,4,"306",45,"80","0.265","0.338","0.311",16.8,21.3,25,"0.291","0.457","0.359",48.1
"Sugano, Tomoyuki",608372,"BAL","FF","4-Seam Fastball",-1.2,-4,"317",18.1,"80","0.304","0.565","0.414",15.9,18.8,15.8,"0.305","0.6","0.425",48.1
"Helsley, Ryan",664854,"STL","FF","4-Seam Fastball",-2,-5,"268",44.6,"80","0.406","0.522","0.439",15.5,12.5,13.9,"0.332","0.505","0.401",53.3
"Holmes, Grant",656550,"ATL","CU","Curveball",0.3,1,"303",15.4,"79","0.167","0.227","0.25",34.8,38,21,"0.169","0.237","0.265",29.7
"Zerpa, Angel",672582,"KC","SI","Sinker",0.9,3,"314",43.1,"79","0.279","0.441","0.364",10.2,20.3,16.7,"0.237","0.37","0.317",43.4
"Gallen, Zac",668678,"AZ","CH","Changeup",-0.2,0,"290",14,"79","0.225","0.338","0.301",28.7,11.4,10.8,"0.256","0.425","0.331",38.7
"Kelly, Merrill",518876,"AZ","FC","Cutter",1.8,8,"422",21,"79","0.133","0.32","0.225",20.2,25.3,27,"0.224","0.447","0.302",40
"Alcala, Jorge",660896,"BOS","FF","4-Seam Fastball",0.8,3,"331",46.2,"79","0.182","0.394","0.307",28.1,26.6,19.8,"0.171","0.328","0.283",32.6
"Bednar, David",670280,"PIT","FF","4-Seam Fastball",0.7,2,"283",48,"79","0.232","0.391","0.312",19.9,21.5,18.3,"0.29","0.565","0.396",50.9
"Kolek, Stephen",663568,"SD","FF","4-Seam Fastball",-0.8,-2,"305",24.7,"78","0.25","0.484","0.362",17.9,23.1,17.6,"0.249","0.458","0.364",45.8
"Jobe, Jackson",695549,"DET","SL","Slider",0.2,0,"268",30.6,"78","0.232","0.348","0.297",26.4,19.2,16.1,"0.211","0.401","0.304",38.2
"Wheeler, Zack",554430,"PHI","ST","Sweeper",2.2,6,"297",14,"78","0.147","0.24","0.186",41.7,41,27.8,"0.187","0.306","0.227",30.2
"Fried, Max",608331,"NYY","CU","Curveball",0.2,1,"336",16.7,"78","0.197","0.303","0.228",41.1,43.6,23.9,"0.193","0.319","0.231",35.7
"Díaz, Edwin",621242,"NYM","FF","4-Seam Fastball",1.7,6,"370",52.9,"78","0.127","0.175","0.223",38.1,37.2,30.2,"0.155","0.252","0.273",41.7
"Keller, Brad",641745,"CHC","FF","4-Seam Fastball",1.2,4,"323",43,"78","0.235","0.353","0.312",17.3,21.8,21,"0.239","0.422","0.334",37.3
"Buehler, Walker",621111,"BOS","FC","Cutter",-1.5,-5,"301",19.1,"78","0.382","0.75","0.506",18.8,7.7,12,"0.37","0.655","0.469",41.9
"Jax, Griffin",643377,"MIN","ST","Sweeper",1.1,4,"330",44.9,"78","0.23","0.284","0.273",44.8,44.9,28.5,"0.209","0.29","0.24",43.6
"Cabrera, Edward",665795,"MIA","CU","Curveball",1.7,6,"334",23.3,"78","0.127","0.268","0.204",42.3,47.4,30.1,"0.121","0.193","0.176",38.9
"Banda, Anthony",607455,"LAD","SL","Slider",1.4,5,"358",47.5,"78","0.129","0.186","0.197",37.6,30.8,19.8,"0.175","0.321","0.26",34.8
"Newcomb, Sean",656794,"ATH","FF","4-Seam Fastball",1.1,4,"350",29.4,"78","0.239","0.352","0.303",24.2,34.6,25.7,"0.23","0.376","0.292",42.2
"Bachar, Lake",669199,"MIA","FF","4-Seam Fastball",0.8,2,"266",38.2,"77","0.197","0.377","0.328",24.2,22.1,27.4,"0.214","0.413","0.349",57.8
"Bibee, Tanner",676440,"CLE","CH","Changeup",-1.4,-4,"274",13.7,"77","0.254","0.418","0.323",42,36.4,24.3,"0.193","0.33","0.267",22
"Bassitt, Chris",605135,"TOR","CU","Curveball",1.4,5,"331",17,"77","0.159","0.275","0.239",31.5,20.8,15.7,"0.193","0.28","0.254",17
"Boyd, Matthew",571510,"CHC","SL","Slider",0.1,0,"289",16.2,"77","0.188","0.246","0.255",35.3,35.1,19.4,"0.222","0.276","0.267",28.6
