"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Peralta, Freddy",642547,"MIL","FF","4-Seam Fastball",0.4,3,"745",59.9,"191","0.215","0.387","0.322",23.4,20.9,17.3,"0.257","0.467","0.361",39.2
"Soriano, José",667755,"LAA","SI","Sinker",-0.2,-1,"554",50.2,"172","0.313","0.382","0.366",15,5.8,12.3,"0.303","0.423","0.374",52.2
"Ryan, Joe",657746,"MIN","FF","4-Seam Fastball",1.8,11,"602",55.8,"163","0.182","0.338","0.247",28.4,32.5,26.1,"0.187","0.415","0.277",42.6
"Parker, Mitchell",680730,"WSH","FF","4-Seam Fastball",1.1,6,"573",54.8,"156","0.198","0.31","0.295",11.7,7.1,8.4,"0.268","0.46","0.374",52.1
"Francis, Bowden",670102,"TOR","FF","4-Seam Fastball",-0.3,-2,"567",58,"156","0.266","0.462","0.34",15.6,16.7,16.8,"0.276","0.451","0.342",51.3
"Pallante, Andre",669467,"STL","FF","4-Seam Fastball",0.2,1,"518",49.3,"154","0.286","0.521","0.383",15.3,9.7,14,"0.313","0.548","0.393",51.6
"Gausman, Kevin",592332,"TOR","FF","4-Seam Fastball",1.1,7,"600",53.6,"153","0.246","0.415","0.308",19.8,20.3,16.8,"0.271","0.503","0.35",45.5
"Ray, Robbie",592662,"SF","FF","4-Seam Fastball",1.5,8,"568",50.7,"152","0.183","0.29","0.266",22.5,28.9,24.7,"0.191","0.334","0.282",41.6
"Kochanowicz, Jack",686799,"LAA","SI","Sinker",-0.4,-2,"487",47.6,"151","0.292","0.431","0.365",15.1,7.9,11.5,"0.285","0.413","0.356",50.4
"Gallen, Zac",668678,"AZ","FF","4-Seam Fastball",-0.3,-2,"571",46.3,"146","0.248","0.434","0.336",14.9,16.4,16.3,"0.272","0.498","0.367",49.1
"Senzatela, Antonio",622608,"COL","FF","4-Seam Fastball",-1.4,-8,"551",52.9,"146","0.385","0.531","0.445",10.3,8.2,8.8,"0.344","0.526","0.409",52.1
"Greene, Hunter",668881,"CIN","FF","4-Seam Fastball",1.6,9,"561",57.4,"145","0.222","0.363","0.279",21.3,26.2,17.7,"0.23","0.415","0.299",49
"Sánchez, Cristopher",650911,"PHI","SI","Sinker",-0.2,-1,"517",48.9,"145","0.299","0.402","0.376",13.8,15.2,23.2,"0.27","0.403","0.34",50.5
"Cease, Dylan",656302,"SD","SL","Slider",1.2,7,"551",49.7,"143","0.192","0.331","0.276",42.3,37.8,25.2,"0.2","0.355","0.275",35.1
"Sale, Chris",519242,"ATL","SL","Slider",2,11,"562",48.3,"142","0.158","0.248","0.204",41.9,44.4,26.7,"0.163","0.262","0.211",19.7
"Fried, Max",608331,"NYY","FF","4-Seam Fastball",2.6,12,"474",42,"142","0.16","0.26","0.236",19.9,23.2,20.4,"0.245","0.398","0.304",41.4
"Bradley, Taj",671737,"TB","FF","4-Seam Fastball",-0.5,-2,"477",44.2,"133","0.265","0.504","0.389",16.9,13.5,16.5,"0.26","0.412","0.349",37.9
"Valdez, Framber",664285,"HOU","SI","Sinker",1.8,9,"517",46.9,"133","0.244","0.336","0.288",10.4,6.8,15.5,"0.309","0.448","0.359",46
"Paddack, Chris",663978,"MIN","FF","4-Seam Fastball",1.4,8,"534",49.9,"130","0.226","0.296","0.271",18.1,18.5,12.8,"0.265","0.429","0.325",51.6
"Brown, Ben",676962,"CHC","FF","4-Seam Fastball",-0.2,-1,"567",58,"130","0.304","0.452","0.38",18.4,16.9,17.2,"0.291","0.556","0.397",46.2
"Castillo, Luis",622491,"SEA","FF","4-Seam Fastball",1.2,6,"522",45.6,"130","0.193","0.325","0.275",25.2,24.6,17.2,"0.207","0.418","0.312",47
"Patrick, Chad",694477,"MIL","FC","Cutter",1.6,8,"485",46.1,"129","0.231","0.333","0.272",23.6,23.3,19.6,"0.24","0.38","0.293",40
"deGrom, Jacob",594798,"TEX","FF","4-Seam Fastball",0.8,4,"481",46.9,"126","0.217","0.426","0.304",24,24.6,21.1,"0.232","0.413","0.305",43.5
"Kikuchi, Yusei",579328,"LAA","SL","Slider",0.1,1,"465",38,"125","0.255","0.418","0.377",20.7,17.6,19,"0.284","0.543","0.422",41
"Williams, Trevor",592866,"WSH","FF","4-Seam Fastball",-0.9,-4,"406",38.9,"125","0.333","0.518","0.393",12.5,15.2,15.3,"0.302","0.469","0.36",50
"Williams, Gavin",668909,"CLE","FF","4-Seam Fastball",-1.7,-9,"522",46.9,"124","0.314","0.552","0.427",24.1,16.1,14.8,"0.322","0.584","0.432",48.2
"Webb, Logan",657277,"SF","SI","Sinker",1.5,7,"471",37.6,"124","0.27","0.374","0.318",11.5,18.5,27.1,"0.284","0.418","0.331",45.7
"Hicks, Jordan",663855,"SF","SI","Sinker",-1.1,-5,"441",53.5,"124","0.321","0.472","0.403",9,11.3,18.9,"0.313","0.429","0.371",50.5
"Bassitt, Chris",605135,"TOR","SI","Sinker",0.3,1,"470",41.9,"123","0.292","0.416","0.361",14.4,17.1,19.8,"0.284","0.447","0.344",46.7
"Pivetta, Nick",601713,"SD","FF","4-Seam Fastball",1.8,8,"460",48,"122","0.191","0.327","0.268",27.4,32,28.5,"0.247","0.474","0.343",56.3
"Anderson, Tyler",542881,"LAA","FF","4-Seam Fastball",1.4,6,"448",39.7,"122","0.214","0.393","0.31",15.3,12.3,11.5,"0.26","0.534","0.362",43.9
"Meyer, Max",676974,"MIA","SL","Slider",0.5,2,"365",35.1,"122","0.209","0.382","0.284",42.4,41.8,32.3,"0.225","0.39","0.309",55.7
"Singer, Brady",663903,"CIN","SI","Sinker",-0.7,-3,"457",42,"122","0.253","0.475","0.373",16,20.5,18.7,"0.24","0.441","0.36",53.9
"Flaherty, Jack",656427,"DET","FF","4-Seam Fastball",-0.1,-1,"492",44.3,"121","0.255","0.5","0.362",13.8,19.8,16.6,"0.293","0.573","0.389",46
"Brown, Ben",676962,"CHC","CU","Curveball",-0.4,-2,"379",38.8,"121","0.254","0.368","0.289",41.5,38.8,28,"0.222","0.321","0.256",44.1
"Gore, MacKenzie",669022,"WSH","FF","4-Seam Fastball",0.1,0,"587",49.7,"121","0.311","0.472","0.369",22.7,19,15.8,"0.307","0.519","0.386",45.3
"Pepiot, Ryan",686752,"TB","FF","4-Seam Fastball",0,0,"473",43.7,"121","0.269","0.51","0.375",20.1,23.1,20.1,"0.267","0.493","0.379",53.2
"Burnes, Corbin",669203,"AZ","FC","Cutter",0.3,2,"554",54.9,"121","0.257","0.446","0.367",21.7,14,14.9,"0.266","0.415","0.354",43.5
"Bubic, Kris",663460,"KC","FF","4-Seam Fastball",1,4,"429",38.9,"119","0.22","0.339","0.287",31.3,30.3,27.9,"0.219","0.376","0.29",34.2
"Mahle, Tyler",641816,"TEX","FF","4-Seam Fastball",1.2,7,"571",49.9,"119","0.173","0.25","0.248",24.5,25.2,15.1,"0.236","0.38","0.317",50
"Crochet, Garrett",676979,"BOS","FF","4-Seam Fastball",-0.3,-1,"556",42.9,"119","0.25","0.442","0.361",30.7,31.1,23.7,"0.212","0.407","0.317",43.3
"Heaney, Andrew",571760,"PIT","FF","4-Seam Fastball",1,5,"485",45.7,"118","0.204","0.388","0.32",20.5,19.5,14.2,"0.249","0.444","0.359",56.6
"Holmes, Clay",605280,"NYM","SI","Sinker",1.2,5,"398",37.4,"117","0.268","0.412","0.348",13.7,10.3,19.7,"0.291","0.48","0.389",54.5
"Falter, Bailey",663559,"PIT","FF","4-Seam Fastball",1.4,6,"418",42.6,"115","0.214","0.337","0.29",15.3,16.5,15.7,"0.231","0.369","0.306",46.3
"Roupp, Landen",694738,"SF","SI","Sinker",-0.5,-2,"401",39.2,"114","0.35","0.456","0.402",8.9,13.2,22.7,"0.293","0.401","0.338",40.9
"Sears, JP",676664,"ATH","FF","4-Seam Fastball",-1.3,-6,"431",39.9,"113","0.333","0.593","0.415",13.8,17.7,12.2,"0.339","0.649","0.429",59.1
"Fedde, Erick",607200,"STL","SI","Sinker",1,4,"410",38.7,"113","0.248","0.366","0.319",11,14.2,17.6,"0.304","0.452","0.365",52.9
"deGrom, Jacob",594798,"TEX","SL","Slider",1.7,7,"401",39.1,"113","0.189","0.292","0.24",36.4,26.5,23.3,"0.222","0.353","0.274",36.8
"Rodón, Carlos",607074,"NYY","SL","Slider",2.7,10,"355",28,"113","0.098","0.176","0.181",44.7,47.8,31.8,"0.159","0.254","0.228",35.4
"May, Dustin",669160,"LAD","SI","Sinker",-0.1,0,"384",39.7,"112","0.265","0.49","0.375",11.3,9.8,22.4,"0.334","0.596","0.433",55.2
"Crochet, Garrett",676979,"BOS","FC","Cutter",2.3,9,"379",29.2,"112","0.206","0.28","0.238",26.5,23.2,24.5,"0.245","0.392","0.295",30.5
"Rea, Colin",607067,"CHC","FF","4-Seam Fastball",0.3,1,"414",48.7,"111","0.297","0.465","0.354",15.6,18.9,21.4,"0.27","0.484","0.349",48.2
"Sale, Chris",519242,"ATL","FF","4-Seam Fastball",-0.9,-4,"486",41.8,"111","0.344","0.548","0.426",22.1,16.2,15,"0.3","0.48","0.383",42.9
"Megill, Tylor",656731,"NYM","FF","4-Seam Fastball",0.4,2,"461",43.1,"111","0.234","0.404","0.332",27.2,35.1,27.1,"0.233","0.41","0.348",46.4
"Valdez, Framber",664285,"HOU","CU","Curveball",0.6,2,"346",31.4,"110","0.189","0.263","0.265",43.3,41.8,30.7,"0.182","0.249","0.256",44.9
"Skenes, Paul",694973,"PIT","FF","4-Seam Fastball",1.3,6,"448",34.9,"109","0.208","0.347","0.278",25.6,27.5,21.1,"0.214","0.388","0.287",49.3
"Irvin, Jake",663623,"WSH","CU","Curveball",0.5,2,"408",37.3,"107","0.21","0.39","0.314",23.3,23.4,18.5,"0.257","0.47","0.334",41.3
"Roupp, Landen",694738,"SF","CU","Curveball",0.2,1,"402",39.3,"107","0.17","0.34","0.265",41.1,34.6,27.8,"0.174","0.303","0.251",15
"Verlander, Justin",434378,"SF","FF","4-Seam Fastball",-0.6,-2,"425",49.5,"107","0.253","0.516","0.382",21,16.8,16.7,"0.314","0.612","0.425",42.9
