"id","name","side","avg_bat_speed","swing_tilt","attack_angle","attack_direction","ideal_attack_angle_rate","avg_intercept_y_vs_plate","avg_intercept_y_vs_batter","avg_batter_y_position","avg_batter_x_position","competitive_swings"
606466,"Marte, Ketel","R",78.6954519310344,31.238570834859473,7.190476339661579,-9.48319291003988,"0.52413793103448275862",7.77972673100175,37.69191300128895,29.9121862702872,24.982904528807616,"145"
691406,"Caminero, Junior","R",78.51949968586385,26.53229745026955,6.015805520349474,-1.16894690320359,"0.52356020942408376963",5.8486757801674605,33.459829728929456,27.611153948762006,28.281005082488686,"191"
666176,"Adell, Jo","R",78.11379918699188,33.6479309647193,8.62102075068457,-4.519892919586895,"0.49593495934959349593",0.9026606477202954,26.673665257820392,25.771004610100082,27.649407706646095,"123"
592450,"Judge, Aaron","R",77.66608352517984,37.93182317200078,14.95413566345949,-5.9599599868268385,"0.48201438848920863309",4.235250767508854,30.6309843826315,26.395733615122634,33.02935352536921,"139"
665833,"Cruz, Oneil","L",77.61982398550727,32.21460566157159,9.603505220389428,-10.742698057311326,"0.52898550724637681159",9.562310215530264,37.005209392154605,27.442899176624362,26.82231211932556,"138"
656941,"Schwarber, Kyle","L",76.81548895652173,29.78461430592178,14.577769874555107,-5.59326734735847,"0.66086956521739130435",11.659466045267584,32.91436183999929,21.25489579473168,26.604822742154987,"230"
665489,"Guerrero Jr., Vladimir","R",76.59565528985506,28.154799144785432,2.0405737038791596,-3.4035861074184806,"0.31884057971014492754",7.134964837163796,34.455975396795985,27.321010559632164,29.109052296464125,"138"
575929,"Contreras, Willson","R",76.40771494444442,33.501644069246645,9.020602690197181,-1.5798155132974272,"0.48888888888888888889",4.125017747776301,28.419510294427603,24.294492546651327,30.8447084060607,"180"
677594,"Rodríguez, Julio","R",76.25136455497385,33.29379817546104,7.551636423506467,-0.13461675984233346,"0.41361256544502617801",11.825192967631105,32.37777182129689,20.5525788536658,29.496345880893035,"191"
624413,"Alonso, Pete","R",76.1236462566845,34.29439015789113,11.145302383641745,-2.7123442794807096,"0.57754010695187165775",5.307339463305331,30.129617190785623,24.82227772748028,26.91553162418427,"187"
673357,"Robert Jr., Luis","R",76.10330192592596,36.14286394955636,10.12548877027093,-2.167109004652173,"0.54074074074074074074",-3.4081683856271696,28.090659516816363,31.4988279024435,26.634768890699398,"135"
663586,"Riley, Austin","R",75.97896632911394,33.36800953157877,11.544888258003684,-5.57115748693852,"0.44936708860759493671",7.570753162942581,36.187550109112955,28.616796946170364,27.778781226876838,"158"
682663,"Ramírez, Agustín","R",75.64507163120565,25.458622463979076,9.372473116905558,-5.10314643804574,"0.55319148936170212766",2.937348805469012,31.462285599771135,28.524936794302118,30.384633871151344,"141"
656305,"Chapman, Matt","R",75.51257019047615,27.535629944098904,6.400218675872612,-2.92660296830861,"0.53333333333333333333",-0.7431372999055628,28.216269830835145,28.959407130740722,30.246250593805854,"105"
695578,"Wood, James","L",75.45774944915259,40.48372944053543,8.315099339041796,1.2551819488068876,"0.40254237288135593220",1.2313630670036912,32.39494884750677,31.16358578050309,29.826586668815427,"236"
672356,"Arias, Gabriel","R",75.42227508379888,29.750043236382947,11.269722756477135,-1.5189166331172204,"0.47486033519553072626",6.862249994220532,36.31662800550606,29.454378011285513,34.71385584481326,"179"
669394,"Burger, Jake","R",75.22065433962263,25.72244425664281,8.927625954691718,-6.36426861939179,"0.53773584905660377358",9.09240501515251,32.17486845887068,23.08246344371816,31.82547175506367,"106"
660271,"Ohtani, Shohei","L",75.21828042056072,35.701401525410375,14.522198467859313,-2.329984911316419,"0.54205607476635514019",-1.685405396243153,28.45873538799491,30.14414078423808,33.07894565698216,"214"
680718,"Barger, Addison","L",75.13693730158731,29.379444325353674,8.98250547588657,-6.291803244145691,"0.44444444444444444444",-1.5691393103677682,31.97885164504785,33.547990955415614,26.04246462271137,"63"
621439,"Buxton, Byron","R",75.03960965811963,33.40294686848872,13.431989243761151,-5.634609852125599,"0.61538461538461538462",3.9989252528784034,27.92625296696742,23.92732771408903,28.069808170024665,"117"
663728,"Raleigh, Cal","R",75.02523882608699,32.483857408439185,18.018225449744335,-11.347918449324752,"0.46086956521739130435",13.120610685996217,39.68753260187024,26.566921915874044,25.264147645736966,"230"
677951,"Witt Jr., Bobby","R",74.97201197183102,30.561615817190948,5.473850121824158,-0.09167865439071643,"0.46478873239436619718",0.6449237641112737,27.984030182360673,27.33910641824941,25.48884658869804,"142"
592518,"Machado, Manny","R",74.88999266094422,26.847380014802066,7.710534352965084,-0.20443960236336386,"0.57081545064377682403",6.748547908976045,30.557282718163584,23.80873480918754,30.675151967590367,"233"
683146,"Baty, Brett","L",74.80155319148936,34.416546329471984,6.725965884356292,6.553996861590972,"0.51063829787234042553",-4.2161354645339175,25.811305819370368,30.027441283904288,30.673606448356544,"47"
701358,"Smith, Cam","R",74.795396984127,39.447659670471886,8.184404876052024,-1.836064974389184,"0.39682539682539682540",4.933685640194213,29.703224604921385,24.769538964727182,29.926523096733998,"126"
669065,"Stowers, Kyle","L",74.72139082706771,33.61107171217706,10.608491085635839,0.4750962183329332,"0.49624060150375939850",2.0692171606636642,32.08287292525106,30.013655764587412,29.91516945037497,"133"
572233,"Walker, Christian","R",74.66611488721803,29.77538212519412,7.632263648498687,-2.621179064965431,"0.48872180451127819549",2.0635841270400426,31.10834209501641,29.04475796797635,25.7560617450025,"133"
