"id","name","bbe","gb_rate","air_rate","fb_rate","ld_rate","pu_rate","pull_rate","straight_rate","oppo_rate","pull_gb_rate","straight_gb_rate","oppo_gb_rate","pull_air_rate","straight_air_rate","oppo_air_rate"
672356,"Arias, Gabriel",118,0.5169491525423728,0.48305084745762716,0.2542372881355932,0.19491525423728814,0.03389830508474576,0.3983050847457627,0.3898305084745763,0.211864406779661,0.2796610169491525,0.1864406779661017,0.05084745762711865,0.11864406779661019,0.2033898305084746,0.16101694915254236
691023,"Walker, Jordan",78,0.44871794871794873,0.5512820512820512,0.20512820512820512,0.2564102564102564,0.08974358974358974,0.3333333333333333,0.44871794871794873,0.21794871794871795,0.20512820512820512,0.1794871794871795,0.0641025641025641,0.1282051282051282,0.2692307692307693,0.15384615384615385
691026,"Winn, Masyn",138,0.37681159420289856,0.6231884057971014,0.2463768115942029,0.2463768115942029,0.13043478260869565,0.34057971014492755,0.36231884057971014,0.2971014492753623,0.15217391304347827,0.15217391304347827,0.07246376811594203,0.18840579710144928,0.21014492753623187,0.2246376811594203
575929,"Contreras, Willson",148,0.4797297297297297,0.5202702702702703,0.21621621621621623,0.2702702702702703,0.033783783783783786,0.3783783783783784,0.3918918918918919,0.22972972972972974,0.19594594594594594,0.22297297297297297,0.060810810810810814,0.18243243243243246,0.16891891891891891,0.16891891891891891
671056,"Herrera, Iván",82,0.5121951219512195,0.4878048780487805,0.10975609756097561,0.25609756097560976,0.12195121951219512,0.32926829268292684,0.3902439024390244,0.2804878048780488,0.21951219512195122,0.2073170731707317,0.08536585365853659,0.10975609756097562,0.1829268292682927,0.1951219512195122
686780,"Pagés, Pedro",97,0.4536082474226804,0.5463917525773196,0.27835051546391754,0.18556701030927836,0.08247422680412371,0.30927835051546393,0.32989690721649484,0.36082474226804123,0.15463917525773196,0.17525773195876287,0.12371134020618557,0.15463917525773196,0.15463917525773196,0.23711340206185566
571448,"Arenado, Nolan",180,0.3888888888888889,0.611111111111111,0.29444444444444445,0.18333333333333332,0.13333333333333333,0.4722222222222222,0.3277777777777778,0.2,0.18333333333333332,0.1388888888888889,0.06666666666666667,0.28888888888888886,0.18888888888888888,0.13333333333333336
683734,"Vaughn, Andrew",109,0.44036697247706424,0.5596330275229358,0.23853211009174313,0.25688073394495414,0.06422018348623854,0.3853211009174312,0.3486238532110092,0.26605504587155965,0.1926605504587156,0.2018348623853211,0.045871559633027525,0.1926605504587156,0.14678899082568808,0.22018348623853212
672820,"Sosa, Lenyn",125,0.288,0.712,0.32,0.296,0.096,0.304,0.4,0.296,0.136,0.128,0.024,0.16799999999999998,0.272,0.27199999999999996
673357,"Robert Jr., Luis",124,0.3870967741935484,0.6129032258064516,0.25,0.20161290322580644,0.16129032258064516,0.47580645161290325,0.28225806451612906,0.24193548387096775,0.25,0.11290322580645161,0.024193548387096774,0.22580645161290325,0.16935483870967744,0.21774193548387097
678246,"Vargas, Miguel",175,0.2857142857142857,0.7142857142857143,0.33714285714285713,0.26285714285714284,0.11428571428571428,0.4114285714285714,0.3657142857142857,0.22285714285714286,0.17142857142857143,0.09142857142857143,0.022857142857142857,0.24,0.2742857142857143,0.2
664034,"France, Ty",176,0.45454545454545453,0.5454545454545455,0.24431818181818182,0.2727272727272727,0.028409090909090908,0.32386363636363635,0.4090909090909091,0.26704545454545453,0.17045454545454544,0.2215909090909091,0.0625,0.1534090909090909,0.18750000000000003,0.20454545454545453
621043,"Correa, Carlos",153,0.48366013071895425,0.5163398692810458,0.21568627450980393,0.24183006535947713,0.058823529411764705,0.32679738562091504,0.42483660130718953,0.24836601307189543,0.16993464052287582,0.24183006535947713,0.0718954248366013,0.1568627450980392,0.1830065359477124,0.17647058823529413
621439,"Buxton, Byron",136,0.4411764705882353,0.5588235294117647,0.3014705882352941,0.17647058823529413,0.08088235294117647,0.5147058823529411,0.3088235294117647,0.17647058823529413,0.27941176470588236,0.1323529411764706,0.029411764705882353,0.23529411764705876,0.17647058823529413,0.14705882352941177
680777,"Jeffers, Ryan",123,0.34959349593495936,0.6504065040650407,0.24390243902439024,0.3170731707317073,0.08943089430894309,0.3902439024390244,0.3252032520325203,0.2845528455284553,0.15447154471544716,0.13821138211382114,0.056910569105691054,0.23577235772357724,0.18699186991869918,0.22764227642276422
664056,"Bader, Harrison",105,0.5333333333333333,0.4666666666666667,0.20952380952380953,0.19047619047619047,0.06666666666666667,0.47619047619047616,0.3523809523809524,0.17142857142857143,0.2857142857142857,0.2,0.047619047619047616,0.19047619047619047,0.1523809523809524,0.12380952380952381
642715,"Adames, Willy",154,0.38311688311688313,0.6168831168831169,0.3116883116883117,0.19480519480519481,0.11038961038961038,0.43506493506493504,0.3181818181818182,0.24675324675324675,0.2532467532467532,0.1038961038961039,0.025974025974025976,0.18181818181818182,0.21428571428571427,0.22077922077922077
666149,"Fitzgerald, Tyler",99,0.43434343434343436,0.5656565656565656,0.32323232323232326,0.1717171717171717,0.0707070707070707,0.43434343434343436,0.32323232323232326,0.24242424242424243,0.26262626262626265,0.1414141414141414,0.030303030303030304,0.1717171717171717,0.18181818181818185,0.21212121212121213
527038,"Flores, Wilmer",161,0.37888198757763975,0.6211180124223602,0.2608695652173913,0.2608695652173913,0.09937888198757763,0.391304347826087,0.37267080745341613,0.2360248447204969,0.16149068322981366,0.15527950310559005,0.062111801242236024,0.2298136645962733,0.21739130434782608,0.17391304347826086
