"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Baz, Shane","669358","305","10.2",28.9,"113.9","89.4","78.2","94.7","87","432","146","387","124",40.7,"30",9.8,6.6
"Bradley, Taj","671737","304","8.9",29.3,"113","89","78","93.2","86.6","429","146","398","114",39,"18",5.9,4.1
"Skenes, Paul","694973","304","11",29.3,"112.3","88","76.3","91.6","85.8","411","149","397","123",40.5,"15",4.9,3.2
"Kochanowicz, Jack","686799","302","7.3",24.2,"116.6","91.8","81.6","93.9","91.4","463","140","403","141",46.7,"25",8.3,6
"Holmes, Clay","605280","302","4.8",30.1,"111.8","89.8","78.9","96.2","86.1","433","135","389","128",42.4,"22",7.3,5.1
"Heaney, Andrew","571760","302","14.4",35.8,"115.5","90.3","79.4","93.2","88","434","174","401","131",43.4,"29",9.6,7
"Falter, Bailey","663559","301","18.5",28.9,"114.7","90.3","79.3","94.3","88.2","466","175","401","138",45.8,"27",9,6.8
"Rodón, Carlos","607074","298","14.4",33.2,"115.5","89.8","79.1","93.9","85.8","423","170","380","122",40.9,"25",8.4,5.2
"Alcantara, Sandy","645261","298","8.8",34.6,"117.9","90.6","80.2","95.2","86.3","421","164","391","133",44.6,"27",9.1,6.6
"Burke, Sean","680732","295","19",38,"113.2","88.6","76.7","94.1","80.9","446","190","397","123",41.7,"32",10.8,7.5
"Taillon, Jameson","592791","294","20.4",35.4,"117.4","88.4","76.6","93.6","82.2","436","184","396","118",40.1,"31",10.5,8
"Roupp, Landen","694738","293","8.9",35.8,"115.4","88.3","76.7","92.6","84.9","484","152","402","104",35.5,"23",7.8,5.4
"Peralta, Freddy","642547","293","18.8",34.8,"117.9","88.1","77.3","92.2","85.6","442","171","390","101",34.5,"25",8.5,5.5
"Bubic, Kris","663460","292","12.1",33.6,"114.4","88.2","76.5","92.5","85.2","436","154","395","118",40.4,"21",7.2,4.8
"deGrom, Jacob","594798","292","14.1",29.8,"112.5","89.4","79.3","93","86.7","410","161","383","116",39.7,"19",6.5,4.4
"Singer, Brady","663903","292","15.4",38.7,"114.4","90.7","80.4","94.7","87.1","439","183","391","127",43.5,"29",9.9,6.8
"Corbin, Patrick","571578","291","14.7",35.7,"113","89.2","78.7","93.1","85.7","420","173","394","112",38.5,"24",8.2,6.1
"Rea, Colin","607067","290","16.2",39.3,"115.7","90.2","80.1","94.1","88.5","440","179","395","121",41.7,"31",10.7,8.1
"Gray, Sonny","543243","290","11.6",35.9,"114.3","88.6","77","93.4","85.7","420","158","403","107",36.9,"23",7.9,5.3
"Luzardo, Jesús","666200","288","12.7",35.4,"112","89.2","78.5","91.4","87.8","420","163","399","116",40.3,"17",5.9,3.8
"Williams, Trevor","592866","285","18.1",39.3,"115.8","90","79.8","92.5","87.4","442","184","390","116",40.7,"24",8.4,6.4
"Skubal, Tarik","669373","285","12.2",36.1,"114.2","85.9","73.6","91.6","80.6","440","161","406","92",32.3,"19",6.7,4.1
"Wheeler, Zack","554430","283","13.2",37.5,"113.9","87.1","76.3","90.5","84.8","427","169","386","93",32.9,"20",7.1,4.3
"Pivetta, Nick","601713","282","18.6",37.2,"115.5","89.3","78.2","94","83.6","467","187","405","118",41.8,"32",11.3,7.4
"Lugo, Seth","607625","279","14.4",33,"115.6","90.8","80.3","95.5","86.9","458","179","402","130",46.6,"27",9.7,6.7
"Gore, MacKenzie","669022","277","17",36.5,"113.1","89.4","78.4","92","88.1","429","177","390","116",41.9,"24",8.7,5.3
"Bello, Brayan","678394","276","7.3",29,"111.2","88.2","77","92.4","85.8","410","138","387","100",36.2,"20",7.2,5.2
